,lat,lon,household_cnt
0,34.932698,127.719063,132
1,34.933698,127.723044,720
2,34.934343,127.71712,903
3,34.936325,127.720397,572
4,34.936385,127.731015,90
5,34.937276,127.730673,60
6,34.937696,127.732675,626
7,34.937925,127.730299,30
8,34.938398,127.720248,336
9,34.938626,127.729541,110
10,34.938894,127.728303,60
11,34.938952,127.734291,166
12,34.939268,127.71845,210
13,34.940589,127.728429,567
14,34.941267,127.733266,330
15,34.942146,127.731413,54
16,34.942328,127.732321,3
17,34.942553,127.732189,3
18,34.942701,127.733765,225
19,34.943049,127.731891,4
20,34.94311,127.731169,48
21,34.943418,127.731989,1
